budget,runtime,vote_average,vote_count,popularity,genre_count,release_year,budget_category,main_genre,is_english,is_hit
0,6,6.5,12,2.895,1,2020.0,Ultra_Low,Horror,1,0
0,77,0.0,0,2.1872,0,1997.0,Ultra_Low,Unknown,0,0
150000000,99,5.744,4288,6.6585,3,2012.0,Medium,Fantasy,1,0
42000000,102,6.429,2659,2.7003,3,2012.0,Low,Action,1,0
60000000,116,5.738,1661,3.3612,2,2007.0,Medium,Comedy,1,0
0,74,7.1,462,3.2224,2,2012.0,Ultra_Low,Animation,1,0
75000000,86,6.912,11153,13.7009,4,2005.0,Medium,Family,1,1
0,98,5.6,6,2.0271,2,2025.0,Ultra_Low,Comedy,0,0
0,97,6.926,197,2.7514,4,2013.0,Ultra_Low,Adventure,0,1
0,93,5.926,81,13.2455,5,2025.0,Ultra_Low,Horror,1,1
125000000,116,5.43,7845,5.1392,3,2016.0,Medium,Action,1,0
18000,77,7.924,1652,3.2761,4,1920.0,Ultra_Low,Drama,0,0
10000000,99,6.579,2192,4.3453,2,2021.0,Low,Horror,1,0
0,52,2.0,1,3.5352,0,1994.0,Ultra_Low,Unknown,1,0
18000000,116,6.757,1707,2.9464,2,2021.0,Low,Drama,1,0
0,75,6.523,298,3.6624,2,2020.0,Ultra_Low,Animation,0,0
3700000,86,8.069,8270,13.3967,3,1988.0,Low,Fantasy,0,1
0,13,0.0,0,1.3334,0,2000.0,Ultra_Low,Unknown,1,0
2500000,99,5.222,1433,2.8472,2,1982.0,Low,Horror,1,1
0,170,6.5,18,3.1886,3,2001.0,Ultra_Low,Drama,0,1
0,128,7.1,49,2.9787,4,2024.0,Ultra_Low,Thriller,0,0
60000000,130,6.443,4510,5.182,3,2013.0,Medium,Fantasy,1,0
0,124,7.6,61,2.3261,2,1969.0,Ultra_Low,Drama,0,0
0,106,7.4,68,3.0007,1,2024.0,Ultra_Low,Drama,0,1
0,97,6.919,180,3.0994,3,2023.0,Ultra_Low,Music,1,0
0,108,5.0,74,2.6727,1,2001.0,Ultra_Low,Drama,0,1
0,67,5.279,34,6.0348,3,1985.0,Ultra_Low,Drama,0,0
0,30,7.123,301,2.4309,3,2010.0,Ultra_Low,Action,0,0
0,87,6.0,2,1.1846,1,2018.0,Ultra_Low,Horror,1,0
0,121,7.0,105,2.537,3,2005.0,Ultra_Low,Drama,0,0
50000000,109,6.861,3630,16.5632,3,2024.0,Low,War,1,0
0,103,4.444,9,4.7303,1,2012.0,Ultra_Low,Drama,0,0
